时间(ms),颗粒温度(K),火焰温度(K),颗粒半径(um),氧化层厚度(um),火焰半径(um),Mg质量(ug),MgO质量(ug),碳质量(ug),对流换热(W),辐射换热(W),反应热(W),表面反应热(W),总热量(W)
11,1130.94806857127,NaN,20.1550838755524,1.00016451328005,NaN,5.12246908541256e-05,1.77241887676262e-05,2.90302892131083e-10,0.00313761346656543,0.00103883228916414,6.51581299971866e-06,6.51581299971866e-06,0.00418296156872929
11.1,1135.35183889476,NaN,20.1550897963686,1.00017612640749,NaN,5.12246493858401e-05,1.77242575328095e-05,3.10795612872626e-10,0.00310635712607316,0.00103289817132344,6.8837353998432e-06,6.8837353998432e-06,0.00414613903279645
11.2,1139.71680735617,NaN,20.1550960458157,1.00018838412234,NaN,5.12246056158541e-05,1.77243301148097e-05,3.32425783684374e-10,0.00307537622689492,0.00102694782648594,7.26581767219707e-06,7.26581767219707e-06,0.00410958987105306
11.3,1144.04326679428,NaN,20.1551026363053,1.00020131076972,NaN,5.12245594572359e-05,1.77244066577822e-05,3.55236364346479e-10,0.003044668691122,0.0010209821502941,7.66233061853589e-06,7.66233061853589e-06,0.00407331317203464
11.4,1148.3315094679,NaN,20.1551095804818,1.00021493115155,NaN,5.12245108214224e-05,1.77244873085877e-05,3.79271120808221e-10,0.00301423244494587,0.00101500203042368,8.07354503847018e-06,8.07354503847018e-06,0.00403730802040801
11.5,1152.58182705588,NaN,20.1551168912225,1.00022927052663,NaN,5.12244596182192e-05,1.77245722167918e-05,4.04574625188017e-10,0.00298406541865819,0.00100900834625426,8.49973173590067e-06,8.49973173590067e-06,0.00400157349664835
11.6,1156.79451065703,NaN,20.1551245816375,1.0002443546106,NaN,5.12244057558005e-05,1.77246615346657e-05,4.31192255773412e-10,0.0029541655466508,0.00100300196855088,8.94116150936471e-06,8.94116150936471e-06,0.00396610867671104
11.7,1160.96985079006,NaN,20.1551326650699,1.00026020957595,NaN,5.12243491407091e-05,1.77247554171854e-05,4.59170197021082e-10,0.00292453076741574,0.000996983759156451,9.39810516169115e-06,9.39810516169115e-06,0.00393091263173388
11.8,1165.10813739353,NaN,20.1551411550957,1.00027686205202,NaN,5.12242896778568e-05,1.77248540220322e-05,4.88555439556836e-10,0.00289515902354523,0.000990954570695101,9.87083349356239e-06,9.87083349356239e-06,0.00389598442773389
11.9,1169.20965982582,NaN,20.1551500655236,1.00029433912501,NaN,5.12242272705236e-05,1.77249575095927e-05,5.19395780175614e-10,0.00286604826173168,0.000984915246286138,1.03596173067341e-05,1.03596173067341e-05,0.00386132312532456
